family,item,day,n_in_daily,n_in_weekly,mean_diff,model
PASTELERIA,5403,Tuesday,2,0,5.0375000437100725,SVR()
PASTELERIA,5403,Wednesday,2,0,6.235000034173329,SVR()
PASTELERIA,5404,Friday,2,0,5.950714332716806,SVR()
PASTELERIA,5404,Monday,2,0,2.98333332935969,SVR()
PASTELERIA,5404,Saturday,6,2,17.174999952316284,SVR()
PASTELERIA,5404,Sunday,2,0,7.377857208251953,SVR()
PASTELERIA,5404,Thursday,3,1,6.528333336114883,SVR()
PASTELERIA,5404,Tuesday,2,0,5.043333411216736,SVR()
PASTELERIA,5404,Wednesday,3,1,3.2921818386424673,AdaBoostRegressor(n_estimators=100)
PASTELERIA,6451,Friday,3,0,3.2142857142857144,Ridge()
PASTELERIA,6451,Monday,2,0,4.25,SVR()
PASTELERIA,6451,Saturday,2,0,5.028571435383387,SVR()
PASTELERIA,6451,Sunday,5,1,2.8666666666666667,KNeighborsRegressor()
PASTELERIA,6451,Thursday,2,0,2.8461538461538463,KNeighborsRegressor()
PASTELERIA,6451,Tuesday,2,0,3.7857142857142856,SVR()
PASTELERIA,6451,Wednesday,2,0,3.8461538461538463,SVR()
PASTELERIA,6523,Friday,4,1,5.785714285714286,Ridge()
PASTELERIA,6523,Monday,5,0,2.9285714285714284,KNeighborsRegressor()
PASTELERIA,6523,Saturday,2,0,7.6466666539510095,SVR()
PASTELERIA,6523,Sunday,2,0,6.066666666666666,SVR()
PASTELERIA,6523,Thursday,2,0,2.076923076923077,Ridge()
PASTELERIA,6523,Tuesday,6,2,5.285714285714286,KNeighborsRegressor()
PASTELERIA,6523,Wednesday,6,1,4.142857142857143,RandomForestRegressor(random_state=42)
PASTELERIA,6549,Friday,2,0,3.8461538461538463,SVR()
PASTELERIA,6549,Monday,2,0,3.888888888888889,KNeighborsRegressor()
PASTELERIA,6549,Saturday,6,2,13.076923076923077,SVR()
PASTELERIA,6549,Sunday,5,0,6.461538461538462,SVR()
PASTELERIA,6549,Thursday,6,2,1.5,RandomForestRegressor(random_state=42)
PASTELERIA,6549,Tuesday,2,0,3.6,SVR()
PASTELERIA,6549,Wednesday,2,0,0.0,SVR()
